2019-04-01 18:47:20 status half-installed libtiffxx5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status unpacked libtiffxx5:amd64 4.0.6-1ubuntu0.6
2019-04-01 18:47:20 status unpacked libtiffxx5:amd64 4.0.6-1ubuntu0.6
2019-04-01 18:47:20 upgrade libtiff5:amd64 4.0.6-1ubuntu0.5 4.0.6-1ubuntu0.6
2019-04-01 18:47:20 status half-configured libtiff5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status half-installed libtiff5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status half-installed libtiff5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.6
2019-04-01 18:47:21 status unpacked libtiff5:amd64 4.0.6-1ubuntu0.6
2019-04-01 18:47:21 upgrade ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.4 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:21 status half-configured ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:21 status unpacked ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:21 status half-installed ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:21 status half-installed ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:21 status unpacked ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:21 status unpacked ghostscript:amd64 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:22 upgrade libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.4 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:22 status half-configured libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:22 status unpacked libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:22 status half-installed libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:24 status half-installed libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:24 status unpacked libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:24 status unpacked libgs9:amd64 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:24 upgrade libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.4 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:24 status half-configured libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:24 status unpacked libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:24 status half-installed libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:28 status half-installed libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.4
2019-04-01 18:47:28 status unpacked libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:28 status unpacked libgs9-common:all 9.26~dfsg+0-0ubuntu0.16.04.8
2019-04-01 18:47:29 upgrade libgd3:amd64 2.1.1-4ubuntu0.16.04.10 2.1.1-4ubuntu0.16.04.11
2019-04-01 18:47:29 status half-configured libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-04-01 18:47:29 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-04-01 18:47:29 status half-installed libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-04-01 18:47:29 status half-installed libgd3:amd64 2.1.1-4ubuntu0.16.04.10
2019-04-01 18:47:29 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.11
2019-04-01 18:47:29 status unpacked libgd3:amd64 2.1.1-4ubuntu0.16.04.11
2019-04-01 18:47:29 upgrade linux-libc-dev:amd64 4.4.0-142.168 4.4.0-143.169
2019-04-01 18:47:29 status half-configured linux-libc-dev:amd64 4.4.0-142.168
2019-04-01 18:47:30 status unpacked linux-libc-dev:amd64 4.4.0-142.168
2019-04-01 18:47:30 status half-installed linux-libc-dev:amd64 4.4.0-142.168
2019-04-01 18:47:38 status half-installed linux-libc-dev:amd64 4.4.0-142.168
2019-04-01 18:47:38 status unpacked linux-libc-dev:amd64 4.4.0-143.169
2019-04-01 18:47:39 status unpacked linux-libc-dev:amd64 4.4.0-143.169
2019-04-01 18:47:41 upgrade parallel:all 20141022+ds1-1 20161222-1~ubuntu0.16.04.1
2019-04-01 18:47:41 status half-configured parallel:all 20141022+ds1-1
2019-04-01 18:47:41 status unpacked parallel:all 20141022+ds1-1
2019-04-01 18:47:41 status half-installed parallel:all 20141022+ds1-1
2019-04-01 18:47:42 status half-installed parallel:all 20141022+ds1-1
2019-04-01 18:47:42 status unpacked parallel:all 20161222-1~ubuntu0.16.04.1
2019-04-01 18:47:42 status unpacked parallel:all 20161222-1~ubuntu0.16.04.1
2019-04-01 18:47:42 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-04-01 18:47:42 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:42 status installed libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:42 trigproc systemd:amd64 229-4ubuntu21.16 <none>
2019-04-01 18:47:42 status half-configured systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:42 status installed systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:43 startup packages configure
2019-04-01 18:47:43 configure libmagic1:amd64 1:5.25-2ubuntu1.2 <none>
2019-04-01 18:47:43 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-04-01 18:47:43 status unpacked libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 status unpacked libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 status unpacked libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 status half-configured libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 status installed libmagic1:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 configure file:amd64 1:5.25-2ubuntu1.2 <none>
2019-04-01 18:47:43 status unpacked file:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 status half-configured file:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 status installed file:amd64 1:5.25-2ubuntu1.2
2019-04-01 18:47:43 configure libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12 <none>
2019-04-01 18:47:43 status unpacked libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:43 status half-configured libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:43 status installed libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:43 configure libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12 <none>
2019-04-01 18:47:43 status unpacked libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:43 status half-configured libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:43 status installed libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:43 configure libsqlite3-0:amd64 3.11.0-1ubuntu1.1 <none>
2019-04-01 18:47:43 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1.1
2019-04-01 18:47:43 status half-configured libsqlite3-0:amd64 3.11.0-1ubuntu1.1
2019-04-01 18:47:43 status installed libsqlite3-0:amd64 3.11.0-1ubuntu1.1
2019-04-01 18:47:43 configure libssl-doc:all 1.0.2g-1ubuntu4.15 <none>
2019-04-01 18:47:43 status unpacked libssl-doc:all 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 status half-configured libssl-doc:all 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 status installed libssl-doc:all 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 configure libssl1.0.0:amd64 1.0.2g-1ubuntu4.15 <none>
2019-04-01 18:47:43 status unpacked libssl1.0.0:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 status half-configured libssl1.0.0:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 status installed libssl1.0.0:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 configure libssl-dev:amd64 1.0.2g-1ubuntu4.15 <none>
2019-04-01 18:47:43 status unpacked libssl-dev:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 status half-configured libssl-dev:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 status installed libssl-dev:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:43 configure openssh-client:amd64 1:7.2p2-4ubuntu2.8 <none>
2019-04-01 18:47:43 status unpacked openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:43 status unpacked openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:43 status unpacked openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status half-configured openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status installed openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 configure openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.8 <none>
2019-04-01 18:47:44 status unpacked openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status half-configured openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status installed openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 configure openssh-server:amd64 1:7.2p2-4ubuntu2.8 <none>
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status half-configured openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 status installed openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:44 configure openssl:amd64 1.0.2g-1ubuntu4.15 <none>
